target_gender,target_age,ads_type,ads_url,ads_detail
male,20,youtube,https://youtube.com/shorts/AQUoA550PFE?si=eoXwK15dVjeaqczn,여성들에게 잘 보이고 싶은 20대 남성을 위한 코디 추천 쇼츠
male,20,youtube,https://youtube.com/shorts/hgLmAvRpnlA?si=QGA6nN95zpe3epIx,공무원 학원 강사의 강의 내용 일부를 담은 학원 광고 쇼츠
male,20,youtube,https://youtube.com/shorts/II9Dr5GaVUs?si=UXNRT9wIvuWAOcC1,20대 남성이 하객룩으로 입으면 좋은 코디를 알려주는 쇼츠
male,20,image,./sample_ads/imgs/20_male.jpg,20대 남성에게 인기가 많은 온라인 축구 시뮬레이션 게임 FIFA ONLINE2 광고 이미지
male,20,video,./sample_ads/videos/20_male.mp4,헬스에 관심이 많은 20대 남성을 타겟으로 하는 헬스장 로우 머신 광고 영상
male,30,youtube,https://youtube.com/shorts/F-K3KUJbwaY?si=hjlVIMLdlMFSFc6K,30대 남성에게 유전적 탈모를 약으로 막을 수 있는지 전문가가 알려주는 영상
male,30,youtube,https://youtube.com/shorts/oRsrsvbTUs0?si=bXw7O9qHuELc0gZN,30대 직장인 남성에게 추천하는 백팩 가방 리스트를 보여주는 영상
male,30,youtube,https://youtube.com/shorts/2UUIwWANp38?si=hESnO3h1RBQVvVMa,주식 투자를 시작하는 30대 남성에게 추천하는 국내 주식 투자 도서를 소개하는 영상
male,30,youtube,https://youtube.com/shorts/ePJXPrUQYSE?si=2XEYlCDvLTCYg4jE,직장인 30대 남성의 나이대에 유명한 정장 브랜드 순위를 알려주는 광고 쇼츠
male,30,image,./sample_ads/imgs/30_male.jpg,"신한 NEO AI 펀드랩의 광고 이미지, 투자에 관심이 많은 30대 남성을 타겟으로 하는 광고"
male,30,video,./sample_ads/videos/30_male.mp4,가정을 꾸리기 시작한 30대 남성을 위한 가족을 위한 크리스마스 파티 광고 영상
male,40,youtube,https://youtube.com/shorts/H69PczBwvgI?si=aDivdXX-Kkq6bdDZ,의사가 소개해주는 남성을 위한 다이어트 꿀팁 쇼츠
male,40,youtube,https://youtube.com/shorts/UKKGBlzTcPo?si=DjgWkjOG9oDpbKTX,"중년 남성의 봄, 여름 패션 코디와 아이템을 알려주는 쇼츠 영상"
male,40,youtube,https://youtube.com/shorts/up6vYdlKNEg?si=9WNDpZw1_ZmB7Z0f,시계 장인이 추천하는 손목 시계 제품을 알려주는 쇼츠 영상 (40대 남성용)
male,40,youtube,https://youtube.com/shorts/R4KhFFl7zcw?si=lhcKFGUCSsh4Xf0F,40대 남성이 가지고 있으면 좋은 기본 의류를 파는 브랜드를 알려주는 쇼츠 영상
male,40,image,./sample_ads/imgs/40_male.jpg,음주 횟수가 많은 40대 직장인 남성을 타겟으로 하는 간 건강 음료 쿠퍼스 광고 이미지
male,50,youtube,https://youtube.com/shorts/YIEY9UmYK0w?si=hBfmUaohphb9M_E6,5060 남성이 받으면 좋아하는 생일 선물 품목을 보여주는 영상
male,50,youtube,https://youtube.com/shorts/eI0v-O8YiVA?si=9NKI7Qwa-Kq5N6na,50대 초반 남성들에게 추천하는 바지 벨트 브랜드 소개 영상
male,50,youtube,https://youtube.com/shorts/zTWW7mMZ2dg?si=WgpbBJ_N-BsaYudZ,의사들이 추천하는 50대 기본 영양제들을 알려주는 짧은 광고 영상
male,50,youtube,https://youtube.com/shorts/ZzwLbJ_gwqE?si=gK6pdUDFgNYRJF6Z,은퇴 후 30년 동안 현실적으로 얼마의 노후 대비 자금이 필요한지 알려주는 영상
male,50,image,./sample_ads/imgs/50_male.jpg,50대 남성을 타겟으로 하는 멀티 비타민 미네랄 영양제 광고 이미지
